time;min_max_zeta_850
2024-12-13-1200;-0.0002778597804808
2024-12-13-1500;-0.000265144243036
2024-12-13-1800;-0.0002134974630147
2024-12-13-2100;-0.00031406483656
2024-12-14-0000;-0.0001796897696798
2024-12-14-0300;-0.0001707680045442
2024-12-14-0600;-0.0002608272659417
2024-12-14-0900;-0.0004620425600274
2024-12-14-1200;-0.0005606738249044
2024-12-14-1500;-0.0002948663909983
2024-12-14-1800;-0.0003744149621768
2024-12-14-2100;-0.0005592119178612
2024-12-15-0000;-0.0005792229169222
2024-12-15-0300;-0.0005929635437153
2024-12-15-0600;-0.0004351690584384
2024-12-15-0900;-0.0003762928539995
2024-12-15-1200;-0.0004264340570332
2024-12-15-1500;-0.0004489330665769
2024-12-15-1800;-0.0003933464080692
2024-12-15-2100;-0.0003747929853468
2024-12-16-0000;-0.0003903993524641
2024-12-16-0300;-0.0003015287427646
2024-12-16-0600;-0.0002263028287806
2024-12-16-0900;-0.0002470450236761
2024-12-16-1200;-0.0002265510801234
